2018.09.24.21.44.40, PEER_DISCOVERED, 9674209814, 192.168.43.208
2018.09.24.21.44.41, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.44.46, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209814.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.24.21.44.46, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, 9674209814
2018.09.24.21.44.46, STOP_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 683, 683.0, 9674209814
2018.09.24.21.44.46, START_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 0, 312.0, 9674209814
2018.09.24.21.44.46, STOP_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 312, 312.0, 9674209814
2018.09.24.21.44.46, START_FILE_DOWNLOAD, 6cc02f8abf336e451eb136e540d114f7, pub_9674209814.bgp, 0, 313.0, 9674209814
2018.09.24.21.44.46, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, 9674209814
2018.09.24.21.44.46, STOP_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 680, 680.0, 9674209814
2018.09.24.21.44.46, STOP_FILE_DOWNLOAD, 6cc02f8abf336e451eb136e540d114f7, pub_9674209814.bgp, 313, 313.0, 9674209814
2018.09.24.21.44.46, START_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 0, 310.0, 9674209814
2018.09.24.21.44.46, STOP_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 310, 310.0, 9674209814
2018.09.24.21.44.52, SUMMARY_VECTOR_RECEIVED, 16997
2018.09.24.21.44.56, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.44.56, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.09.24.21.44.56, DEBUG Controller MISSING FILE START DOWNLOAD pub_user.bgp -1.0
2018.09.24.21.44.56, DEBUG Controller MISSING FILE START DOWNLOAD 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50.bgp -1.0
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 0, 313.0, 9674209814
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 313, 313.0, 9674209814
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 709ff37bb83b228c74625b59a5178257, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50.bgp, 0, 681.0, 9674209814
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 709ff37bb83b228c74625b59a5178257, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50.bgp, 681, 681.0, 9674209814
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 1b1fccafce2ddab2beca22be3d4c4c, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_13.diff, 0, 1754.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 2ac28d2723304536b847aa843e5026f, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3b55fbc775958b17.png, 0, 157877.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 0, 682.0, 9674209814
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 1b1fccafce2ddab2beca22be3d4c4c, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_13.diff, 1754, 1754.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 682, 682.0, 9674209814
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 31d5af6f76ec6c5535ed5be4fca5b6bc, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_74f0749111f4970b.jpeg, 0, 235492.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, de58f9f74cc8d9e7603df3ebd03ccc66, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_1.diff, 0, 188.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, de58f9f74cc8d9e7603df3ebd03ccc66, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_1.diff, 188, 188.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, a2a2306242461934c4eb1c94e5fdd918, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_d1be937802b0e1d7.png, 0, 159268.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 2ac28d2723304536b847aa843e5026f, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3b55fbc775958b17.png, 157877, 157877.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 29381fb4f751e28562eef9ec753e0ef, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_9.diff, 0, 1368.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, dceaed4d58cd81713b8cb7750d96f57, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_5.diff, 0, 958.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, dceaed4d58cd81713b8cb7750d96f57, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_5.diff, 958, 958.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 29381fb4f751e28562eef9ec753e0ef, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_9.diff, 1368, 1368.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 8966a93f57ca930de9faed12289d320, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3.diff, 0, 528.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, d6631c66e6b7d3b5f58387ea95248fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_7.diff, 0, 1102.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 8966a93f57ca930de9faed12289d320, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_3.diff, 528, 528.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, b550ef993e7ff2e71695c52f3d10b878, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_15.diff, 0, 2037.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 8385535c85368bf0eeb5dd6071761e, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_16.diff, 0, 2104.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 3632326f67f8c19ac6318dda293b9fa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_8.diff, 0, 1288.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, b550ef993e7ff2e71695c52f3d10b878, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_15.diff, 2037, 2037.0, 192.168.43.208
