2018.09.25.01.02.21, START_FILE_DOWNLOAD, 82c2b412d27295120587e6369953a12, pub_9100000001.bgp, 0, 313.0, 9100000001
2018.09.26.13.21.44, STOP_FILE_DOWNLOAD, 290bf59a1d46d56b1964883af3dbae2, MapDisarm_Log_9100000001_20180926185129.txt, 49, 49.0, 9100000001
2018.09.26.13.25.15, START_FILE_DOWNLOAD, 1be1d364451e2c46324b0115f0a74, aa953979c1f5f7af3d91007b57f842c9_v9100000001_volunteer_50_2bdc5ab132d7d2e9.jpeg, 0, 256137.0, 192.168.43.198
2018.09.26.13.25.20, STOP_FILE_DOWNLOAD, df44f4f9ed287f4bf471e8c4e628989d, aa953979c1f5f7af3d91007b57f842c9_v9100000001_volunteer_50_ea961fb708c2aed4.png, 14480, 112259.0, 192.168.43.198
2018.09.26.13.28.15, START_FILE_DOWNLOAD, 4533c3cc76349dece1efcd25fae5a9b2, aa953979c1f5f7af3d91007b57f842c9_v9100000001_volunteer_50_10.diff, 0, 1288.0, 192.168.43.198
2018.09.26.13.44.47, STOP_FILE_DOWNLOAD, c1f570e17eb7ac1bfbaede7ec3f01d, MapDisarm_Log_9100000001_20180926191437.txt, 2590, 2590.0, 9100000001
2018.09.26.13.53.08, START_FILE_DOWNLOAD, 54fd262c9461eb336bb5fbc2e4c09bc9, 5385347fbb3af66dd97da924fa23c9b_v9100000002_volunteer_50_871ced2f04bbfcde.jpeg, 208512, 211122.0, 9100000001
2018.09.26.13.54.29, STOP_FILE_DOWNLOAD, a498923b4a57a55017344646dc1dc2, MapDisarm_Log_9100000001_20180926192421.txt, 51264, 51264.0, 9100000001
2018.09.26.14.10.49, START_FILE_DOWNLOAD, 9ec9bbce14ccafd81ca3d64911daa7cd, MapDisarm_Log_9100000001_20180926194030.txt, 0, 263590.0, 9100000001
2018.09.26.14.55.36, STOP_FILE_DOWNLOAD, 3b7bed6667d37a094cdfd7a4158ce3e, MapDisarm_Log_9100000001_20180926202519.txt, 306681, 306681.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
2018.09.27.09.58.43, START_FILE_DOWNLOAD, e9af707df1279385712e224d9cf0e67, MapDisarm_Log_8981775377_20180927152740.txt, 0, 1249910.0, 9100000001
2018.09.27.10.00.04, STOP_FILE_DOWNLOAD, bb450a8895a09c043b6777f3bc68, MapDisarm_Log_8981775377_20180927152902.txt, 1250110, 1250110.0, 9100000001
