2018.09.25.01.01.51, START_FILE_DOWNLOAD, 1c5c2850cd528ac87c98f0e02898a, pub_9100000002.bgp, 0, 313.0, 9100000002
2018.09.25.01.01.51, STOP_FILE_DOWNLOAD, 1c5c2850cd528ac87c98f0e02898a, pub_9100000002.bgp, 313, 313.0, 9100000002
2018.09.26.13.45.04, START_FILE_DOWNLOAD, bb5b825a26ac1e9b026608344d7eb53, 5385347fbb3af66dd97da924fa23c9b_v9100000002_volunteer_50_15.diff, 0, 1887.0, 192.168.43.246
2018.09.26.13.45.16, STOP_FILE_DOWNLOAD, 54fd262c9461eb336bb5fbc2e4c09bc9, 5385347fbb3af66dd97da924fa23c9b_v9100000002_volunteer_50_871ced2f04bbfcde.jpeg, 208512, 211122.0, 192.168.43.246
2018.09.26.14.22.11, START_FILE_DOWNLOAD, ecc05f84d1c8c136e3ed4dbe8cc5ad30, MapDisarm_Log_9100000002_20180926195200.txt, 0, 184908.0, 9100000002
2018.09.26.14.22.11, STOP_FILE_DOWNLOAD, ecc05f84d1c8c136e3ed4dbe8cc5ad30, MapDisarm_Log_9100000002_20180926195200.txt, 184908, 184908.0, 9100000002
2018.09.27.09.25.55, START_FILE_DOWNLOAD, ef2fca9a5e2509d7971d06b1cd0478a, 5385347fbb3af66dd97da924fa23c9b_v9100000002_volunteer_50_78.diff, 0, 8611.0, 192.168.43.246
2018.09.27.09.26.36, STOP_FILE_DOWNLOAD, 66a415f88a62c1bce8243f2aa101efc, MapDisarm_Log_9100000002_20180927145133.txt, 659026, 659026.0, 9100000002
2018.09.28.04.22.56, START_FILE_DOWNLOAD, d195d4f7efda6530b697e4f82c8b50c5, 9f19f0fe9512c87403c14f2e8e7007f7_8765000000_volunteer_50_1.diff, 0, 155.0, 192.168.43.246
2018.09.28.04.22.56, STOP_FILE_DOWNLOAD, f582922023570c450de875b96b568f4, 2bd51ce6f208e48249162ee88a221710_7000000001_volunteer_50_89adc390c4de1680.jpeg, 225408, 123080.0, 192.168.43.246
2018.09.28.04.38.21, START_FILE_DOWNLOAD, 7ccdf5d1746e83fa893401e452a98f9, MapDisarm_Log_9477633135_20180921164009.txt, 0, 74204.0, 9100000002
2018.09.28.04.38.31, STOP_FILE_DOWNLOAD, 8074ac4021872ecf414b5d2fb4aa5ca, MapDisarm_Log_9126617939_20180825215631.txt, 50, 50.0, 9100000002
