2018.09.24.21.44.46, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, 9674209814
2018.09.24.21.50.17, STOP_FILE_DOWNLOAD, 328b973a15e17b1967e66f6dbabe54eb, MapDisarm_Log_9674209814_20180926153827.txt, 235239, 235239.0, 9674209814
2018.09.24.23.10.22, START_FILE_DOWNLOAD, 3c1efeff8f765538d4f9dc74bb3e35cb, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_24.diff, 0, 3070.0, 9674209814
2018.09.24.23.17.03, STOP_FILE_DOWNLOAD, 81652d5fa09b2bdec51b8db698be53b6, MapDisarm_Log_9674209814_20180926170505.txt, 317449, 317449.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.24.23.46.59, START_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 0, 320444.0, 9674209814
2018.09.24.23.46.59, STOP_FILE_DOWNLOAD, f374106df32040f4d1d427788afe5c, MapDisarm_Log_9674209814_20180926173503.txt, 320444, 320444.0, 9674209814
2018.09.27.06.22.46, START_FILE_DOWNLOAD, ee3ec9aff5030193b27bb720e594, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_31.diff, 0, 3876.0, 9674209814
2018.09.27.06.31.32, STOP_FILE_DOWNLOAD, 33e79d3e944126ec81bdb8bd7fd695, MapDisarm_Log_9674209814_20180927120113.txt, 323038, 323038.0, 9674209814
2018.09.27.06.32.12, START_FILE_DOWNLOAD, 9d29de66aea5c2232f6163cd33615b3, MapDisarm_Log_9674209814_20180927120154.txt, 0, 323138.0, 9674209814
2018.09.27.06.33.12, STOP_FILE_DOWNLOAD, f5cc381ab1b667e97734639e383689, MapDisarm_Log_9674209814_20180927120253.txt, 323287, 323287.0, 9674209814
2018.09.27.06.33.32, START_FILE_DOWNLOAD, 9ada234d2e682db6e5e797b85e010, MapDisarm_Log_9674209814_20180927120313.txt, 0, 323337.0, 9674209814
2018.09.27.06.35.35, STOP_FILE_DOWNLOAD, 4870909fb9ccbc8c1341fe17295b29, MapDisarm_Log_9674209814_20180927120514.txt, 323635, 323635.0, 9674209814
