2018.09.16.14.36.48, PEER_DISCOVERED, 9674209816, 192.168.43.197
2018.09.16.14.36.52, SUMMARY_VECTOR_RECEIVED, 19068
2018.09.16.14.36.57, CHECKING OLD LOG FILES IF ANY
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209816.bgp -1.0
2018.09.16.14.36.57, START_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 0, 310.0, 9674209816
2018.09.16.14.36.57, START_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 0, 312.0, 9674209816
2018.09.16.14.36.57, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, 9674209816
2018.09.16.14.36.57, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, 9674209816
2018.09.16.14.36.57, STOP_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 310, 310.0, 9674209816
2018.09.16.14.36.57, START_FILE_DOWNLOAD, e5124024cf4baf1c074c2119c2bfb86, pub_9674209816.bgp, 0, 313.0, 9674209816
2018.09.16.14.36.57, STOP_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 683, 683.0, 9674209816
2018.09.16.14.36.57, STOP_FILE_DOWNLOAD, e5124024cf4baf1c074c2119c2bfb86, pub_9674209816.bgp, 313, 313.0, 9674209816
2018.09.16.14.36.57, STOP_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 680, 680.0, 9674209816
2018.09.16.14.36.57, STOP_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 312, 312.0, 9674209816
2018.09.16.14.37.02, SUMMARY_VECTOR_RECEIVED, 19066
2018.09.16.14.37.07, CHECKING OLD LOG FILES IF ANY
2018.09.16.14.37.07, DEBUG Controller MISSING FILE START DOWNLOAD pub_user.bgp -1.0
2018.09.16.14.37.07, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.09.16.14.37.07, DEBUG Controller MISSING FILE START DOWNLOAD e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50.bgp -1.0
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 1b63ccc1bed6ca19aa27b778556b4f3, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50.bgp, 0, 679.0, 9674209816
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 1b63ccc1bed6ca19aa27b778556b4f3, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50.bgp, 679, 679.0, 9674209816
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 0, 313.0, 9674209816
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 313, 313.0, 9674209816
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 0, 682.0, 9674209816
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 69de8beefdd49130683dae18365740, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_9e45df35bf42dd31.jpeg, 0, 217163.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, c02996204281f22fc3f18579049e96b, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_24.diff, 0, 2688.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 682, 682.0, 9674209816
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, c02996204281f22fc3f18579049e96b, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_24.diff, 2688, 2688.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 639160f3e66319d71d672e427f9509f, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_6.diff, 0, 602.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 639160f3e66319d71d672e427f9509f, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_6.diff, 602, 602.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, f3f4a8bbd5ed32cbfc4bc44ea9102e47, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_16.diff, 0, 1764.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 9eaedbf006b1bc08123eaf23a273fc7, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_10.diff, 0, 1030.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 31b147d1ddf155752f6a4ac338c9a671, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_19.diff, 0, 2106.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 9eaedbf006b1bc08123eaf23a273fc7, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_10.diff, 1030, 1030.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, f3f4a8bbd5ed32cbfc4bc44ea9102e47, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_16.diff, 1764, 1764.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 6e8ac48ae77653b40b6bb5c3c115e, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_ca0936a45e351721.png, 0, 69827.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 31b147d1ddf155752f6a4ac338c9a671, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_19.diff, 2106, 2106.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 1293ffd6641cc495c6a9a1c74211b6, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_22.diff, 0, 2406.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 1293ffd6641cc495c6a9a1c74211b6, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_22.diff, 2406, 2406.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, aa2c7ccfd0d9a451de2d2a4936926, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_1.diff, 0, 169.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, aa11eaadcc08d39ecc291378d402f4a, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_9b5effbdf0abfcb5.png, 0, 101655.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 8c9580c3a9388087e9cc9358b8ecd9b, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_15ca571e1f7cb1bf.png, 0, 96282.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 5a895b36c93bf0a052309d28bfbb9b4a, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_17.diff, 0, 1844.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 2ddd8db58d37f89d6022b6ea784d1f4c, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_4f83ca7eed959e3.jpeg, 0, 186735.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 6e8ac48ae77653b40b6bb5c3c115e, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_ca0936a45e351721.png, 69827, 69827.0, 192.168.43.197
