2018.09.19.14.33.06, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.14.33.06, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.14.33.06, PEER_DISCOVERED, 9674209814, 192.168.43.208
2018.09.19.14.33.11, SUMMARY_VECTOR_RECEIVED, 6316
2018.09.19.14.33.16, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.16, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.16, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209814.bgp -1.0
2018.09.19.14.33.16, DEBUG Controller MISSING FILE START DOWNLOAD ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50.bgp -1.0
2018.09.19.14.33.17, START_FILE_DOWNLOAD, f943bb6485953b2fb4fc1b14ff94e4a, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_adcdc6ca0119e755.png, 0, 154714.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, d2c18debf744c02344ad4ed96856d58e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_1.diff, 0, 192.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, e18031a6ea3fd6b155d75286acce917, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_d03f2f3185d7fdcb.png, 0, 157606.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, edaee20f1bb602c19eb26f3a3ce96d3, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_2.diff, 0, 420.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, 1065d891aad7668932161bfdc9afae5e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50.bgp, 0, 666.0, 9674209814
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, d2c18debf744c02344ad4ed96856d58e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_1.diff, 192, 192.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, 4325b45c53e1c4423772244ab836155e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_58418dc5582085ef.jpeg, 0, 188912.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, e275e6b978d6bcd8d048bed5575be25, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_3.diff, 0, 504.0, 192.168.43.208
2018.09.19.14.33.17, START_FILE_DOWNLOAD, 6cc02f8abf336e451eb136e540d114f7, pub_9674209814.bgp, 0, 313.0, 9674209814
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, 1065d891aad7668932161bfdc9afae5e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50.bgp, 666, 666.0, 9674209814
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, edaee20f1bb602c19eb26f3a3ce96d3, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_2.diff, 420, 420.0, 192.168.43.208
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, e275e6b978d6bcd8d048bed5575be25, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_3.diff, 504, 504.0, 192.168.43.208
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, 6cc02f8abf336e451eb136e540d114f7, pub_9674209814.bgp, 313, 313.0, 9674209814
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, f943bb6485953b2fb4fc1b14ff94e4a, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_adcdc6ca0119e755.png, 154714, 154714.0, 192.168.43.208
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, e18031a6ea3fd6b155d75286acce917, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_d03f2f3185d7fdcb.png, 157606, 157606.0, 192.168.43.208
2018.09.19.14.33.17, STOP_FILE_DOWNLOAD, 4325b45c53e1c4423772244ab836155e, ca719786c1dc7657217a69db0aa76ae2_v9674209814_volunteer_50_58418dc5582085ef.jpeg, 188912, 188912.0, 192.168.43.208
2018.09.19.14.33.21, SUMMARY_VECTOR_RECEIVED, 6316
2018.09.19.14.33.26, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.26, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.26, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209814_20180920182901.txt 9.999999999999998E13
2018.09.19.14.33.26, START_FILE_DOWNLOAD, ff3d778defd3b1aff825495a2340293b, MapDisarm_Log_9674209814_20180920182901.txt, 0, 1354022.0, 9674209814
2018.09.19.14.33.26, STOP_FILE_DOWNLOAD, ff3d778defd3b1aff825495a2340293b, MapDisarm_Log_9674209814_20180920182901.txt, 1354022, 1354022.0, 9674209814
2018.09.19.14.33.31, KEEPING LOGMapDisarm_Log_9674209814_20180920182901.txt
2018.09.19.14.33.31, REMOVING LOGMapDisarm_Log_9674209814_20180209160441.txt
2018.09.19.14.33.31, CHECKING OLD LOG FILES IF ANY
2018.09.19.14.33.32, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.14.33.32, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
