2018.09.15.18.50.14, PEER_DISCOVERED, 8100000004, 192.168.43.197
2018.09.15.18.50.17, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.50.22, CHECKING OLD LOG FILES IF ANY
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pub_8100000004.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.09.15.18.50.22, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 8515fc2dc7c06bafadc868b3bdf2db47, pub_8100000004.bgp, 0, 313.0, 8100000004
2018.09.15.18.50.22, STOP_FILE_DOWNLOAD, 8515fc2dc7c06bafadc868b3bdf2db47, pub_8100000004.bgp, 313, 313.0, 8100000004
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 0, 682.0, 8100000004
2018.09.15.18.50.22, STOP_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 682, 682.0, 8100000004
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 0, 310.0, 8100000004
2018.09.15.18.50.22, STOP_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 310, 310.0, 8100000004
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, 8100000004
2018.09.15.18.50.22, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, 8100000004
2018.09.15.18.50.22, STOP_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 683, 683.0, 8100000004
2018.09.15.18.50.22, STOP_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 680, 680.0, 8100000004
2018.09.15.18.50.27, SUMMARY_VECTOR_RECEIVED, 8670
2018.09.15.18.50.32, CHECKING OLD LOG FILES IF ANY
2018.09.15.18.50.32, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.15.18.50.32, DEBUG Controller MISSING FILE START DOWNLOAD pub_user.bgp -1.0
2018.09.15.18.50.32, DEBUG Controller MISSING FILE START DOWNLOAD 4c5c6cc70d633b426416fe1160519cd5_v8100000004_volunteer_50.bgp -1.0
